# The Comparative Toxicogenomics Database (CTD) - http://ctdbase.org/
#   Copyright 2002-2012 MDI Biological Laboratory. All rights reserved.
#   Copyright 2012-2025 NC State University. All rights reserved.
#  
# 
# Use is subject to the terms set forth at http://ctdbase.org/about/legal.jsp
# These terms include:
# 
#   1. All forms of publication (e.g., web sites, research papers, databases,
#      software applications, etc.) that use or rely on CTD data must cite CTD.
#      Citation guidelines: http://ctdbase.org/about/publications/#citing
# 
#   2. All electronic or online applications must include hyperlinks from 
#      contexts that use CTD data to the applicable CTD data pages.
#      Linking instructions: http://ctdbase.org/help/linking.jsp
# 
#   3. You must notify CTD, and describe your use of our data:
#      http://ctdbase.org/help/contact.go
# 
#   4. For quality control purposes, you must provide CTD with periodic 
#      access to your publication of our data.
# 
# More information: http://ctdbase.org/downloads/
# 
# Report created: Thu May 29 11:28:15 EDT 2025
#
# Fields:
# ChemicalName	ChemicalID	CasRN	DiseaseName	DiseaseID	DirectEvidence	InferenceGeneSymbol	InferenceScore	OmimIDs	PubMedIDs
#
06-Paris-LA-66 protocol	C046983		Precursor Cell Lymphoblastic Leukemia-Lymphoma	MESH:D054198	therapeutic				4519131
10074-G5	C534883		Carcinoma, Hepatocellular	MESH:D006528		MYC	7.52		12029619|15565109|29698666|9029167
10074-G5	C534883		Carcinoma, Merkel Cell	MESH:D015266		MYC	6.15		25277525
10074-G5	C534883		Carcinoma, Non-Small-Cell Lung	MESH:D002289		MYC	4.20		24688052
10074-G5	C534883		Carcinoma, Squamous Cell	MESH:D002294		MYC	4.22		26432044
10074-G5	C534883		Cardiomyopathy, Hypertrophic	MESH:D002312		MYC	4.76		22000973
10074-G5	C534883		Cell Transformation, Neoplastic	MESH:D002471		MYC	4.00		12115494|2543982|29626521|31504995
10074-G5	C534883		Chromosome Breakage	MESH:D019457		MYC	4.29		25933419
10074-G5	C534883		Cleft Lip	MESH:D002971		MYC	5.04		24859337
10074-G5	C534883		Cleft Palate	MESH:D002972		MYC	4.62		24859337
10074-G5	C534883		Colonic Neoplasms	MESH:D003110		MYC	4.00		12189186|15059925|18283038|21081470
10074-G5	C534883		Colorectal Neoplasms	MESH:D015179		MYC	3.93		30510241
10074-G5	C534883		Diabetes, Gestational	MESH:D016640		AR	4.98		20421132
10074-G5	C534883		Disease Models, Animal	MESH:D004195		MYC	3.84		27602772
10074-G5	C534883		Disease Progression	MESH:D018450		MYC	4.12		22321834|28191284|34510316|34626302
10074-G5	C534883		Endometrial Neoplasms	MESH:D016889		MYC	4.55		26656844
10074-G5	C534883		Ependymoma	MESH:D004806		EPHB2	6.62		26075792
10074-G5	C534883		Fatty Liver	MESH:D005234		MYC	3.88		24210820
10074-G5	C534883		Genital Diseases, Male	MESH:D005832		AR	5.03		25434310
10074-G5	C534883		Glioblastoma	MESH:D005909		MYC	4.41		21127729
10074-G5	C534883		Hemangiosarcoma	MESH:D006394		MYC	4.98		17569031
10074-G5	C534883		Hypertension	MESH:D006973		AR	3.41		10523385
10074-G5	C534883		Hypertrophy, Left Ventricular	MESH:D017379		MYC	4.48		21472269
10074-G5	C534883		Hypospadias 1, X-Linked	MESH:C567482		AR	6.89	300633	
10074-G5	C534883		Infertility, Female	MESH:D007247		AR	4.52		23710174
10074-G5	C534883		Infertility, Male	MESH:D007248		AR	4.29		12220434|18554162|20164437
10074-G5	C534883		Insulin Resistance	MESH:D007333		AR	3.93		21444647
10074-G5	C534883		Leukemia	MESH:D007938		AR	4.35		19235587
10074-G5	C534883		Leukemia, Myeloid, Acute	MESH:D015470		MYC	4.19		25956709
10074-G5	C534883		Liver Cirrhosis, Experimental	MESH:D008106		MYC	3.52		25380136
10074-G5	C534883		Liver Neoplasms	MESH:D008113		MYC	3.85		11532874|8807143
10074-G5	C534883		Liver Neoplasms, Experimental	MESH:D008114		MYC	3.95		11280770|18560566|9079223
10074-G5	C534883		Lung Neoplasms	MESH:D008175		AR	7.94		30008631
10074-G5	C534883		Lung Neoplasms	MESH:D008175		MYC	7.94		16289808|28191284
10074-G5	C534883		Lymphoma, Large B-Cell, Diffuse	MESH:D016403		MYC	4.81		27356265
10074-G5	C534883		Medulloblastoma	MESH:D008527		MYC	4.80		19270706|31694585
10074-G5	C534883		Myelodysplastic Syndromes	MESH:D009190		MYC	4.81		10914558
10074-G5	C534883		Neoplasm Metastasis	MESH:D009362		MYC	3.88		22321834
10074-G5	C534883		Neoplasm Recurrence, Local	MESH:D009364		AR	4.88		11742035
10074-G5	C534883		Neoplasms	MESH:D009369		MYC	3.88		11559025
10074-G5	C534883		Neuroblastoma	MESH:D009447		MYC	4.60		34626302|8761367
10074-G5	C534883		Neuroectodermal Tumors	MESH:D017599		MYC	5.81		8761367
10074-G5	C534883		Osteosarcoma	MESH:D012516		MYC	4.72		24646477|34508303
10074-G5	C534883		Ovarian Neoplasms	MESH:D010051		MYC	4.17		20852632|34510316
10074-G5	C534883		Pancreatic Neoplasms	MESH:D010190		MYC	4.20		25961927
10074-G5	C534883		Pheochromocytoma	MESH:D010673		MAX	6.21	171300	21685915
10074-G5	C534883		Polycystic Kidney, Autosomal Dominant	MESH:D016891		MYC	5.86		25877301
10074-G5	C534883		PROSTATE CANCER/BRAIN CANCER SUSCEPTIBILITY	OMIM:603688		EPHB2	7.82	603688	
10074-G5	C534883		Prostatic Intraepithelial Neoplasia	MESH:D019048		AR	5.28		20601956
10074-G5	C534883		Prostatic Neoplasms	MESH:D011471		AR	7.35		11742035|12237244|15389811|15790600|16266977|16877366|16934689|16998812|17003774|17141945|18829485|19011039|20729295|22610119|22666205|23704919|25062956|25735316|25908785|25970160|29610475
10074-G5	C534883		Prostatic Neoplasms	MESH:D011471		MYC	7.35		17173048|23704919|29295717|32512071
10074-G5	C534883		Prostatic Neoplasms, Castration-Resistant	MESH:D064129		AR	5.20		18985049|24740322|28500234|28757136
10074-G5	C534883		Stomach Neoplasms	MESH:D013274		MYC	3.88		17171786|21173787
10074-G5	C534883		Urinary Bladder Neoplasms	MESH:D001749		MYC	4.01		2228319
10074-G5	C534883		Uterine Cervical Neoplasms	MESH:D002583		MYC	4.74		26432044
10074-G5	C534883		Wilms Tumor	MESH:D009396		MAX	5.99		28825729
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Adenocarcinoma	MESH:D000230		KCNQ1	4.68		23975432
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Amphetamine-Related Disorders	MESH:D019969		FOS	4.17		19689456
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Amyotrophic lateral sclerosis 1	MESH:C531617		FOS	4.64		11796754
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Anxiety Disorders	MESH:D001008		FOS	3.71		16488545
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Arthritis, Juvenile	MESH:D001171		FOS	4.15		19565504
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Atrial Fibrillation, Familial, 3	MESH:C563817		KCNQ1	7.56	607554	
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Beckwith-Wiedemann Syndrome	MESH:D001506		KCNQ1	6.76	130650	
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Brain Diseases	MESH:D001927		KCNQ2	4.88		27602407
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Brain Injuries	MESH:D001930		FOS	3.75		9630518
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Breast Neoplasms	MESH:D001943		FOS	3.21		16298037
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Carcinoma, Hepatocellular	MESH:D006528		FOS	3.32		28284560|9029167
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Carcinoma, Ovarian Epithelial	MESH:D000077216		FOS	4.74		28811376
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Cell Transformation, Neoplastic	MESH:D002471		FOS	3.70		8777434
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Cholestasis, Extrahepatic	MESH:D001651		FOS	4.74		28789951
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Cocaine-Related Disorders	MESH:D019970		FOS	3.60		17276011|18311559|19533625
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 7	OMIM:613720		KCNQ2	7.68	613720	
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Developmental Disabilities	MESH:D002658		KCNQ2	5.52		20805988|27602407
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Diabetes Mellitus, Type 2	MESH:D003924		KCNQ1	4.60		18711366|18711367|26551672
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Disease Models, Animal	MESH:D004195		FOS	3.54		27093858
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Endometriosis	MESH:D004715		FOS	4.01		23284138
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Epilepsy	MESH:D004827		FOS	9.11		15973680
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Epilepsy	MESH:D004827		KCNQ2	9.11		16464983|29942082
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Epilepsy, Benign Neonatal	MESH:D020936		KCNQ2	7.33		19380078|26910900
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Fibrous Dysplasia of Bone	MESH:D005357		FOS	5.75		7739708
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Hearing Loss, Noise-Induced	MESH:D006317		KCNQ1	5.80		16823764
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Heat Stroke	MESH:D018883		FOS	4.84		24039931
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Hemorrhage	MESH:D006470		FOS	3.68		7844257
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Hyperalgesia	MESH:D006930		FOS	3.47		27093858
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Hyperkinesis	MESH:D006948	marker/mechanism				19098162
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Hyperkinesis	MESH:D006948		FOS	3.60		18355967
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Hypertension	MESH:D006973		FOS	3.18		12044476|24039778
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Infarction, Middle Cerebral Artery	MESH:D020244		FOS	4.40		12374626
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Intestinal Neoplasms	MESH:D007414		KCNQ1	5.48		23975432
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Jervell-Lange Nielsen Syndrome	MESH:D029593		KCNQ1	7.21	220400	
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Liver Cirrhosis, Experimental	MESH:D008106		FOS	3.22		25380136
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Long QT Syndrome	MESH:D008133		KCNQ1	4.85		10868744|14510655|15028050|17467628|18329740|20513597|22910039
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Lung Neoplasms	MESH:D008175		FOS	3.44		16289808
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Nervous System Diseases	MESH:D009422		FOS	8.43		12890883
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Nervous System Diseases	MESH:D009422		KCNQ2	8.43		20805988
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Neurodevelopmental Disorders	MESH:D065886		KCNQ2	5.33		29942082
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Neurotoxicity Syndromes	MESH:D020258		FOS	3.78		19220411
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Obesity	MESH:D009765		FOS	3.68		27071101
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Reperfusion Injury	MESH:D015427		FOS	3.87		7922267
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Romano-Ward Syndrome	MESH:D029597		KCNQ1	7.21	192500	15004216
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Seizures	MESH:D012640	marker/mechanism				26348896
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Seizures	MESH:D012640		FOS	6.44		11955713|12946577|8923670|9630518
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Seizures	MESH:D012640		KCNQ2	6.44		27602407
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		SEIZURES, BENIGN FAMILIAL NEONATAL, 1	OMIM:121200		KCNQ2	7.68	121200	
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		SEIZURES, BENIGN FAMILIAL NEONATAL, 2	OMIM:121201		KCNQ3	7.78	121201	
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Short QT Syndrome 2	MESH:C566505		KCNQ1	7.56	609621	
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Status Epilepticus	MESH:D013226		FOS	3.87		16696126|18587450|18988310|7984056
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Substance Withdrawal Syndrome	MESH:D013375		FOS	3.61		15196791|15196794|18485423
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	C112297		Trigeminal Neuralgia	MESH:D014277		FOS	5.00		27093858
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Abnormalities, Drug-Induced	MESH:D000014		EPHX1	5.16		2336087
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Acute Lung Injury	MESH:D055371		EPHX1	5.25		26840748
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Amphetamine-Related Disorders	MESH:D019969		EPHX1	5.46		19598248
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Autism Spectrum Disorder	MESH:D000067877		EPHX1	4.92		35663546
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Carcinoma	MESH:D002277		EPHX1	5.08		12376462
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Carcinoma, Hepatocellular	MESH:D006528		EPHX1	4.58		7892276
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Chemical and Drug Induced Liver Injury	MESH:D056486		EPHX1	4.12		25226513
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Fever	MESH:D005334		EPHX1	4.93		31422080
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Hypercholanemia, Familial	MESH:C564336		EPHX1	7.59		12878321
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Leukemia, Myeloid, Acute	MESH:D015470		EPHX1	5.17		29605894
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Lung Neoplasms	MESH:D008175		EPHX1	4.71		17114358|17311802
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Lymphoma	MESH:D008223		EPHX1	5.61		11406608
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Lymphoma, Non-Hodgkin	MESH:D008228		EPHX1	5.45		11406608
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Mammary Neoplasms, Animal	MESH:D015674		EPHX1	5.24		12376462
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Mammary Neoplasms, Experimental	MESH:D008325		EPHX1	5.05		12376462
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Mesothelioma, Malignant	MESH:D000086002		EPHX1	5.49		16697254
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Micronuclei, Chromosome-Defective	MESH:D048629		EPHX1	5.12		22156006
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Multiple Myeloma	MESH:D009101		EPHX1	5.41		16949155
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Myocardial Ischemia	MESH:D017202		EPHX1	4.95		29298899
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Precursor Cell Lymphoblastic Leukemia-Lymphoma	MESH:D054198		EPHX1	5.43		21983886
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Pre-Eclampsia	MESH:D011225		EPHX1	5.79		11283205|12173035
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Prostatic Neoplasms	MESH:D011471		EPHX1	4.53		17919073|21716162|24763052
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Pulmonary Disease, Chronic Obstructive	MESH:D029424		EPHX1	5.56		9288046
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Pulmonary Emphysema	MESH:D011656		EPHX1	6.37		9288046
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1	Skin Neoplasms	MESH:D012878		EPHX1	5.21		26295053
10,11-dihydro-10-hydroxycarbamazepine	C039775		Acute Kidney Injury	MESH:D058186		CYP2C19	4.11		19814645
10,11-dihydro-10-hydroxycarbamazepine	C039775		Adrenocortical Carcinoma	MESH:D018268		ABCB1	5.41		12015757
10,11-dihydro-10-hydroxycarbamazepine	C039775		Arthritis, Experimental	MESH:D001169		ABCB1	4.61		17827786
10,11-dihydro-10-hydroxycarbamazepine	C039775		Arthritis, Rheumatoid	MESH:D001172		ABCB1	4.27		20080907|22104130
10,11-dihydro-10-hydroxycarbamazepine	C039775		Atrial Fibrillation	MESH:D001281		CYP2C19	4.52		27356304
10,11-dihydro-10-hydroxycarbamazepine	C039775		Autism Spectrum Disorder	MESH:D000067877		ABCB1	9.32		35663546
10,11-dihydro-10-hydroxycarbamazepine	C039775		Autism Spectrum Disorder	MESH:D000067877		CYP2C19	9.32		35663546
10,11-dihydro-10-hydroxycarbamazepine	C039775		Breast Neoplasms	MESH:D001943		ABCB1	3.66		22311042
10,11-dihydro-10-hydroxycarbamazepine	C039775		Carcinoma	MESH:D002277		ABCB1	4.26		21332314
10,11-dihydro-10-hydroxycarbamazepine	C039775		Carcinoma, Hepatocellular	MESH:D006528		ABCB1	3.77		17510421
10,11-dihydro-10-hydroxycarbamazepine	C039775		Carcinoma, Non-Small-Cell Lung	MESH:D002289		ABCB1	4.36		20627363
10,11-dihydro-10-hydroxycarbamazepine	C039775		Cardiovascular Diseases	MESH:D002318		CYP2C19	4.56		20978260
10,11-dihydro-10-hydroxycarbamazepine	C039775		Chemical and Drug Induced Liver Injury	MESH:D056486		ABCB1	6.74		20623750
10,11-dihydro-10-hydroxycarbamazepine	C039775		Chemical and Drug Induced Liver Injury	MESH:D056486		CYP2C19	6.74		12963435|28762043
10,11-dihydro-10-hydroxycarbamazepine	C039775		Colorectal Neoplasms	MESH:D015179		ABCB1	4.08		22294766|23977225
10,11-dihydro-10-hydroxycarbamazepine	C039775		Disease Progression	MESH:D018450		ABCB1	4.27		20627363
10,11-dihydro-10-hydroxycarbamazepine	C039775		Drug Metabolism, Poor, CYP2C19-Related	MESH:C563703		CYP2C19	7.41	609535	20435227
10,11-dihydro-10-hydroxycarbamazepine	C039775		Drug-Related Side Effects and Adverse Reactions	MESH:D064420		ABCB1	3.82		18381794|20563569|21064136|25007187
10,11-dihydro-10-hydroxycarbamazepine	C039775		Epilepsy	MESH:D004827	therapeutic				17516704
10,11-dihydro-10-hydroxycarbamazepine	C039775		Epilepsy	MESH:D004827		ABCB1	4.38		19570321|8001500
10,11-dihydro-10-hydroxycarbamazepine	C039775		Escherichia coli Infections	MESH:D004927		ABCB1	5.19		24498193
10,11-dihydro-10-hydroxycarbamazepine	C039775		Esophageal Neoplasms	MESH:D004938		ABCB1	4.61		21332314
10,11-dihydro-10-hydroxycarbamazepine	C039775		Genetic Predisposition to Disease	MESH:D020022		ABCB1	12.61		22311042
10,11-dihydro-10-hydroxycarbamazepine	C039775		Genetic Predisposition to Disease	MESH:D020022		CYP2C19	12.61		27356304
10,11-dihydro-10-hydroxycarbamazepine	C039775		Heart Defects, Congenital	MESH:D006330		ABCB1	4.60		23874772
10,11-dihydro-10-hydroxycarbamazepine	C039775		Hematologic Neoplasms	MESH:D019337		ABCB1	5.41		22311042
10,11-dihydro-10-hydroxycarbamazepine	C039775		Hypotension, Orthostatic	MESH:D007024		ABCB1	4.59		12082591
10,11-dihydro-10-hydroxycarbamazepine	C039775		Inflammatory Bowel Disease 13	MESH:C567384		ABCB1	7.11	612244	
10,11-dihydro-10-hydroxycarbamazepine	C039775		Kidney Failure, Chronic	MESH:D007676		CYP2C19	4.91		15248218
10,11-dihydro-10-hydroxycarbamazepine	C039775		Kidney Neoplasms	MESH:D007680		ABCB1	4.57		22311042
10,11-dihydro-10-hydroxycarbamazepine	C039775		Liver Cirrhosis, Experimental	MESH:D008106		ABCB1	3.67		17072980
10,11-dihydro-10-hydroxycarbamazepine	C039775		Lymphoma, Large B-Cell, Diffuse	MESH:D016403		ABCB1	4.97		21325069
10,11-dihydro-10-hydroxycarbamazepine	C039775		Marijuana Abuse	MESH:D002189		ABCB1	5.70		19625010
10,11-dihydro-10-hydroxycarbamazepine	C039775		Mental Disorders	MESH:D001523		ABCB1	4.50		17015054
10,11-dihydro-10-hydroxycarbamazepine	C039775		Nausea	MESH:D009325		ABCB1	3.98		21840870
10,11-dihydro-10-hydroxycarbamazepine	C039775		Neoplasm Metastasis	MESH:D009362		ABCB1	4.04		12015757
10,11-dihydro-10-hydroxycarbamazepine	C039775		Neoplasms	MESH:D009369		ABCB1	4.03		22269388
10,11-dihydro-10-hydroxycarbamazepine	C039775		Nervous System Diseases	MESH:D009422		ABCB1	4.17		17015054|21064136
10,11-dihydro-10-hydroxycarbamazepine	C039775		Neuroblastoma	MESH:D009447		ABCB1	4.76		8761367
10,11-dihydro-10-hydroxycarbamazepine	C039775		Neurotoxicity Syndromes	MESH:D020258		ABCB1	4.24		12352921
10,11-dihydro-10-hydroxycarbamazepine	C039775		Neutropenia	MESH:D009503		ABCB1	4.40		16950614|25007187
10,11-dihydro-10-hydroxycarbamazepine	C039775		Pain, Postoperative	MESH:D010149		ABCB1	4.74		20627697
10,11-dihydro-10-hydroxycarbamazepine	C039775		Parkinson Disease	MESH:D010300		ABCB1	4.28		20558393
10,11-dihydro-10-hydroxycarbamazepine	C039775		Parkinson Disease, Secondary	MESH:D010302		ABCB1	4.58		26457621
10,11-dihydro-10-hydroxycarbamazepine	C039775		Peripheral Nervous System Diseases	MESH:D010523		ABCB1	4.25		16950614
10,11-dihydro-10-hydroxycarbamazepine	C039775		Poisoning	MESH:D011041		ABCB1	4.03		23562926
10,11-dihydro-10-hydroxycarbamazepine	C039775		Precursor Cell Lymphoblastic Leukemia-Lymphoma	MESH:D054198		ABCB1	4.60		22674224
10,11-dihydro-10-hydroxycarbamazepine	C039775		Primary Ovarian Insufficiency	MESH:D016649		CYP2C19	5.91		15248218
10,11-dihydro-10-hydroxycarbamazepine	C039775		Prostatic Neoplasms	MESH:D011471		CYP2C19	4.01		21716162
10,11-dihydro-10-hydroxycarbamazepine	C039775		Squamous Cell Carcinoma of Head and Neck	MESH:D000077195		ABCB1	4.94		25275603
10,11-dihydro-10-hydroxycarbamazepine	C039775		Thrombosis	MESH:D013927		CYP2C19	4.63		20978260
10,11-dihydro-10-hydroxycarbamazepine	C039775		Translocation, Genetic	MESH:D014178		ABCB1	5.73		21325069
10,11-dihydro-10-hydroxycarbamazepine	C039775		Vomiting	MESH:D014839		ABCB1	4.01		21840870
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	C515697		Alopecia	MESH:D000505		AR	5.21		15902657
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	C515697		Androgen-Insensitivity Syndrome	MESH:D013734		AR	7.58	300068|312300	1303262|8281139
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	C515697		Astrocytoma	MESH:D001254		AR	5.66		24680642
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	C515697		Autistic Disorder	MESH:D001321		AR	4.63		19167832
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	C515697		Breast Neoplasms	MESH:D001943		AR	4.11		21633166|22174584
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	C515697		Breast Neoplasms, Male	MESH:D018567		AR	6.61		1303262|8281139
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	C515697		Bulbospinal neuronopathy, X-linked recessive	MESH:C537017		AR	7.58	313200	
